Date,Open,High,Low,Close,Volume,Adj Close
2016-04-18,55.490002,56.59,55.209999,56.459999,23786000,55.72055
2016-04-15,55.299999,55.919998,55.110001,55.650002,28793800,54.921161
2016-04-14,55.220001,55.580002,55.07,55.360001,20877100,54.634958
2016-04-13,55.119999,55.439999,54.889999,55.349998,20818000,54.625087
2016-04-12,54.369999,54.779999,53.759998,54.650002,24944300,53.934258
2016-04-11,54.490002,55.150002,54.299999,54.310001,21414200,53.59871
2016-04-08,54.669998,55.279999,54.32,54.419998,22167200,53.707267
2016-04-07,54.869999,54.91,54.23,54.459999,19225100,53.746744
2016-04-06,54.360001,55.200001,54.209999,55.119999,21188700,54.3981
2016-04-05,55.189999,55.299999,54.459999,54.560001,19272300,53.845436
2016-04-04,55.43,55.66,55.00,55.43,18928800,54.704041
2016-04-01,55.049999,55.610001,54.57,55.57,24399200,54.842207
2016-03-31,54.950001,55.59,54.860001,55.23,26360500,54.506659
2016-03-30,54.93,55.639999,54.900002,55.049999,23008300,54.329017
2016-03-29,53.66,54.860001,53.450001,54.709999,23924300,53.993469
2016-03-28,54.209999,54.290001,53.330002,53.540001,17025100,52.838795
2016-03-24,53.84,54.330002,53.73,54.209999,19950000,53.500018
2016-03-23,54.110001,54.240002,53.740002,53.970001,20129000,53.263163
2016-03-22,53.610001,54.25,53.459999,54.07,23124100,53.361852
2016-03-21,53.25,53.93,52.93,53.860001,23925700,53.154603
2016-03-18,54.919998,54.970001,53.450001,53.490002,67625500,52.78945
2016-03-17,54.209999,55.00,54.00,54.66,28223900,53.944125
2016-03-16,53.450001,54.599998,53.400002,54.349998,31691700,53.638184
2016-03-15,52.75,53.59,52.740002,53.59,21104800,52.888139
2016-03-14,52.709999,53.59,52.630001,53.169998,24083600,52.473638
2016-03-11,53.00,53.07,52.380001,53.07,32275700,52.374949
2016-03-10,52.93,52.939999,51.16,52.049999,38387800,51.368307
2016-03-09,51.889999,52.849998,51.860001,52.84,28251600,52.147962
2016-03-08,50.799999,52.130001,50.599998,51.650002,33835100,50.973548
2016-03-07,51.560001,51.799999,50.580002,51.029999,38407800,50.361666
2016-03-04,52.400002,52.450001,51.709999,52.029999,33034200,51.348569
2016-03-03,52.970001,52.970001,51.779999,52.349998,24427800,51.664377
2016-03-02,52.41,52.959999,52.16,52.950001,29289900,52.256522
2016-03-01,50.970001,52.59,50.919998,52.580002,33024500,51.891368
2016-02-29,51.349998,51.650002,50.66,50.880001,31654000,50.213632
2016-02-26,52.599998,52.68,51.099998,51.299999,35975900,50.62813
2016-02-25,51.73,52.099998,50.610001,52.099998,26939500,51.417652
2016-02-24,50.689999,51.50,50.200001,51.360001,33014500,50.687345
2016-02-23,52.34,52.369999,50.98,51.18,28895300,50.509703
2016-02-22,52.279999,53.00,52.279999,52.650002,25008300,51.960451
2016-02-19,51.970001,52.279999,51.529999,51.82,33559100,51.14132
2016-02-18,52.330002,52.950001,52.099998,52.189999,27176000,51.506473
2016-02-17,51.490002,52.77,51.450001,52.419998,40789000,51.73346
2016-02-16,50.900002,51.09,50.130001,51.09,37291200,50.420881
2016-02-12,50.25,50.68,49.75,50.50,34243300,49.483325
2016-02-11,48.68,50.110001,48.509998,49.689999,48878600,48.68963
2016-02-10,49.889999,50.389999,49.52,49.709999,38237000,48.709228
2016-02-09,49.02,50.240002,48.669998,49.279999,46740500,48.287885
2016-02-08,49.549999,49.57,48.189999,49.41,59290500,48.415269
2016-02-05,51.939999,52.00,49.560001,50.16,62009000,49.150169
2016-02-04,52.099998,52.810001,51.369999,52.00,46987100,50.953126
2016-02-03,53.25,53.389999,51.259998,52.16,57559800,51.109905
2016-02-02,54.169998,54.259998,52.650002,53.00,56313800,51.932994
2016-02-01,54.880001,55.09,54.50,54.709999,44208500,53.608567
2016-01-29,54.73,55.09,54.00,55.09,83611700,53.980918
2016-01-28,51.860001,52.209999,51.25,52.060001,62513800,51.01192
2016-01-27,52.009998,52.200001,51.02,51.220001,36775200,50.188831
2016-01-26,51.790001,52.439999,51.549999,52.169998,28900800,51.119702
2016-01-25,51.939999,52.650002,51.650002,51.790001,34707700,50.747355
2016-01-22,51.41,52.330002,51.259998,52.290001,37555800,51.237289
2016-01-21,51.00,51.580002,50.299999,50.48,40191200,49.463727
2016-01-20,49.98,51.380001,49.099998,50.790001,63273000,49.767487
2016-01-19,51.48,51.68,50.060001,50.560001,43564500,49.542118
2016-01-15,51.310001,51.970001,50.34,50.990002,71820700,49.963462
2016-01-14,52.00,53.419998,51.57,53.110001,52381900,52.04078
2016-01-13,53.799999,54.07,51.299999,51.639999,66883600,50.600373
2016-01-12,52.759998,53.099998,52.060001,52.779999,36095500,51.717422
2016-01-11,52.509998,52.849998,51.459999,52.299999,36943800,51.247086
2016-01-08,52.369999,53.279999,52.150002,52.330002,48754000,51.276485
2016-01-07,52.700001,53.490002,52.07,52.169998,56564900,51.119702
2016-01-06,54.32,54.400002,53.639999,54.049999,39518900,52.961855
2016-01-05,54.93,55.389999,54.540001,55.049999,34079700,53.941723
2016-01-04,54.32,54.799999,53.389999,54.799999,53778000,53.696756
2015-12-31,56.040001,56.189999,55.419998,55.48,27334100,54.363066
2015-12-30,56.470001,56.779999,56.290001,56.310001,21704500,55.176358
2015-12-29,56.290001,56.849998,56.060001,56.549999,27731400,55.411524
2015-12-28,55.349998,55.950001,54.98,55.950001,22458300,54.823605
2015-12-24,55.860001,55.959999,55.43,55.669998,9570000,54.54924
2015-12-23,55.700001,55.880001,55.439999,55.82,27279800,54.696221
2015-12-22,54.990002,55.48,54.50,55.349998,28322200,54.235682
2015-12-21,54.880001,55.349998,54.23,54.830002,37246300,53.726154
2015-12-18,55.77,56.00,54.029999,54.130001,84684200,53.040246
2015-12-17,56.360001,56.790001,55.529999,55.700001,41280900,54.578638
2015-12-16,55.540001,56.25,54.759998,56.130001,37503300,54.999982
2015-12-15,55.66,55.900002,55.09,55.200001,39459000,54.088704
2015-12-14,54.330002,55.209999,53.68,55.139999,46768900,54.029911
2015-12-11,54.709999,55.099998,54.009998,54.060001,39549500,52.971655
2015-12-10,55.389999,55.66,55.009998,55.27,31775800,54.157295
2015-12-09,55.369999,55.869999,54.509998,54.98,36373200,53.873132
2015-12-08,55.470001,56.099998,54.990002,55.790001,32878000,54.666826
2015-12-07,55.790001,55.970001,55.290001,55.810001,30709800,54.686424
2015-12-04,54.119999,56.23,54.099998,55.91,43963700,54.784409
2015-12-03,55.490002,55.77,53.93,54.200001,38627800,53.108836
2015-12-02,55.32,55.959999,55.060001,55.209999,47274900,54.098501
2015-12-01,54.41,55.23,54.299999,55.220001,39952800,54.108302
2015-11-30,54.540001,54.959999,54.00,54.349998,56241400,53.255814
2015-11-27,53.799999,54.080002,53.790001,53.93,9009100,52.844272
2015-11-25,54.09,54.23,53.689999,53.689999,21005100,52.609102
2015-11-24,53.919998,54.439999,53.580002,54.25,24600000,53.157829
2015-11-23,54.25,54.459999,53.75,54.189999,28235900,53.099036
2015-11-20,54.25,54.299999,53.27,54.189999,37147600,53.099036
2015-11-19,53.990002,54.66,53.779999,53.939999,28149200,52.854069
2015-11-18,53.00,53.98,52.98,53.849998,29710000,52.76588
2015-11-17,53.169998,53.529999,52.849998,52.970001,31551300,51.903599
2015-11-16,53.080002,53.889999,52.849998,53.77,32165200,52.334741
2015-11-13,53.07,53.290001,52.529999,52.84,36848200,51.429565
2015-11-12,53.48,53.98,53.189999,53.32,35361100,51.896752
2015-11-11,53.700001,54.200001,53.459999,53.650002,36516300,52.217945
2015-11-10,54.07,54.130001,53.27,53.509998,55283700,52.081679
2015-11-09,54.549999,54.869999,53.560001,54.16,32513100,52.71433
2015-11-06,54.09,54.98,53.959999,54.919998,32851200,53.454042
2015-11-05,54.490002,54.700001,54.00,54.380001,31468500,52.928459
2015-11-04,54.18,54.880001,54.060001,54.400002,37087800,52.947926
2015-11-03,52.93,54.389999,52.900002,54.150002,36596900,52.704599
2015-11-02,52.849998,53.360001,52.619999,53.240002,30285000,51.818889
2015-10-30,53.32,53.990002,52.619999,52.639999,46619800,51.234903
2015-10-29,53.540001,53.830002,53.220001,53.360001,30202100,51.935685
2015-10-28,53.540001,53.98,52.860001,53.98,47000800,52.539135
2015-10-27,53.990002,54.369999,53.580002,53.689999,50999900,52.256875
2015-10-26,52.529999,54.32,52.50,54.25,64633300,52.801928
2015-10-23,52.299999,54.07,52.25,52.869999,135227100,51.458763
2015-10-22,47.529999,48.950001,47.09,48.029999,56637100,46.747955
2015-10-21,47.919998,47.990002,47.110001,47.200001,25144300,45.940111
2015-10-20,47.439999,47.810001,47.02,47.77,30802200,46.494896
2015-10-19,47.419998,47.880001,47.02,47.619999,29387600,46.348899
2015-10-16,47.02,47.540001,46.900002,47.509998,25779300,46.241834
2015-10-15,47.009998,47.029999,46.529999,47.009998,27189400,45.755181
2015-10-14,46.650002,47.099998,46.529999,46.68,24697800,45.433991
2015-10-13,46.560001,47.130001,46.560001,46.889999,19987800,45.638385
2015-10-12,46.98,47.07,46.50,47.00,19769100,45.745449
2015-10-09,47.450001,47.540001,46.919998,47.110001,28600600,45.852514
2015-10-08,46.560001,47.52,46.50,47.450001,33772700,46.183438
